PSC,Okres,Kraj
51736,3607,KR
51741,3607,KR
51741,3611,PA
51742,3607,KR
51743,3607,KR
51745,3607,KR
51750,3607,KR
51754,3607,KR
51755,3607,KR
51756,3607,KR
51757,3607,KR
51761,3607,KR
51761,3611,PA
51764,3607,KR
51771,3602,KR
51771,3607,KR
51772,3602,KR
51773,3607,KR
51783,3607,KR
51784,3607,KR
51791,3607,KR
51792,3607,KR
51793,3607,KR
51801,3607,KR
51803,3607,KR
53002,3606,PA
53003,3606,PA
53006,3606,PA
53009,3606,PA
53012,3606,PA
53301,3606,PA
53303,3606,PA
53304,3606,PA
53305,3606,PA
53311,3606,PA
53312,3606,PA
53313,3606,PA
53314,3606,PA
53315,3606,PA
53316,3606,PA
53321,3606,PA
53322,3606,PA
53332,3606,PA
53333,3606,PA
53341,3606,PA
53342,3606,PA
53343,3606,PA
53344,3606,PA
53345,3606,PA
53351,3606,PA
53352,3606,PA
53353,3606,PA
53354,3606,PA
53361,3606,PA
53362,3606,PA
53363,3606,PA
53364,3606,PA
53371,3606,PA
53372,3606,PA
53373,3606,PA
53374,3606,PA
53375,3606,PA
53401,3606,PA
53401,3611,PA
53501,3606,PA
53701,3603,PA
53703,3603,PA
53705,3603,PA
53801,3603,PA
53802,3603,PA
53803,3603,PA
53804,3603,PA
53805,3603,PA
53807,3603,PA
53821,3603,PA
53823,3603,PA
53824,3603,PA
53825,3603,PA
53826,3603,PA
53831,3603,PA
53832,3603,PA
53833,3603,PA
53834,3603,PA
53835,3603,PA
53836,3603,PA
53841,3603,PA
53842,3603,PA
53843,3603,PA
53845,3603,PA
53851,3603,PA
53854,3603,PA
53854,3611,PA
53861,3603,PA
53862,3603,PA
53863,3603,PA
53863,3611,PA
53864,3603,PA
53865,3611,PA
53901,3601,VY
53901,3603,PA
53941,3603,PA
53942,3603,PA
53943,3603,PA
53944,3603,PA
53944,3609,PA
53944,3611,PA
53945,3611,PA
53952,3603,PA
53953,3603,PA
